@relation Sachs
@attribute Raf {1,2,3}
@attribute Mek {1,2,3}
@attribute Plcg {1,2,3}
@attribute PIP2 {1,2,3}
@attribute PIP3 {1,2,3}
@attribute Erk {1,2,3}
@attribute Akt {1,2,3}
@attribute PKA {1,2,3}
@attribute PKC {1,2,3}
@attribute P38 {1,2,3}
@attribute Jnk {1,2,3}
@data
1,1,2,1,1,1,1,1,1,3,1
1,1,2,3,3,2,2,1,3,2,2
1,2,2,2,2,1,1,2,2,2,1
3,2,1,3,3,3,3,3,1,2,3
2,1,1,3,2,3,2,2,2,2,2
1,2,3,1,1,2,1,2,1,1,3
3,3,2,1,1,2,3,2,1,1,3
3,2,3,2,1,1,1,1,2,2,1
3,2,1,3,2,2,1,1,1,1,1
2,2,1,1,1,2,2,2,1,1,3
1,1,3,3,2,2,3,2,3,3,2
3,3,3,1,2,1,1,2,3,2,1
3,2,1,3,2,1,1,1,3,3,2
1,1,3,2,2,2,2,2,2,2,2
2,3,2,1,2,3,3,3,1,1,3
1,1,1,1,3,1,2,2,2,2,3
3,3,2,1,1,1,1,2,1,3,3
3,2,3,1,1,3,2,1,2,1,3
3,3,3,2,2,2,2,1,3,3,3
3,3,2,1,1,3,2,1,1,1,3
2,3,2,3,2,1,1,1,3,3,3
2,2,3,2,1,2,2,1,2,1,1
2,1,2,1,1,3,3,3,1,1,2
1,1,3,3,3,1,1,2,3,3,2
2,2,1,3,1,2,2,2,3,3,2
2,2,3,2,2,3,3,2,3,3,2
2,3,3,1,3,2,2,2,1,1,3
1,3,2,3,3,2,2,1,1,1,3
3,1,2,1,1,3,3,3,2,2,1
2,1,3,3,3,2,3,3,1,2,3
3,3,3,3,3,3,3,2,3,3,2
1,1,1,1,3,1,1,1,2,2,2
1,1,3,3,3,2,2,2,1,1,3
1,1,1,3,2,1,2,2,3,3,2
1,1,3,3,2,2,1,1,1,1,3
2,2,3,2,1,1,1,1,3,3,1
2,2,2,3,3,2,2,1,3,2,2
2,2,3,3,3,2,1,1,3,3,2
1,1,2,3,3,2,2,1,1,3,1
1,1,2,2,1,1,2,1,3,3,2
3,3,3,2,2,2,2,1,2,2,3
1,1,3,3,3,2,2,1,2,3,3
2,2,2,2,3,1,1,2,3,3,2
3,1,2,1,1,1,1,1,3,2,1
2,3,3,2,1,3,3,1,2,2,1
1,1,1,1,3,3,3,1,1,1,3
1,3,3,2,2,2,3,3,1,2,3
1,1,2,3,2,1,1,2,3,2,2
1,1,1,1,3,3,3,3,1,1,1
3,3,3,2,3,3,3,3,3,3,2
2,2,2,1,1,2,2,2,2,1,3
1,1,3,1,1,3,2,1,3,3,3
2,3,3,2,3,3,3,3,2,2,1
1,1,3,1,1,2,2,3,1,2,3
1,1,1,3,1,1,1,2,3,3,2
2,1,3,2,2,3,3,1,2,3,3
2,2,3,2,1,3,3,1,3,3,3
1,1,2,3,1,3,2,1,3,3,3
3,2,3,2,1,2,2,1,1,3,3
1,2,1,3,1,1,1,3,2,1,1
1,3,1,3,3,1,3,1,3,3,1
1,1,3,2,1,3,3,3,3,3,3
2,2,3,2,2,1,1,2,1,3,3
2,3,2,1,1,1,1,2,2,2,2
2,2,2,1,1,1,2,2,1,2,3
2,2,1,3,2,2,1,3,2,1,1
2,3,3,3,2,2,1,2,3,3,2
3,3,1,2,1,2,2,1,1,3,1
1,1,3,1,1,1,1,1,1,1,1
3,2,1,3,2,2,2,1,2,2,1
3,3,2,1,1,2,2,1,1,1,3
2,2,2,1,2,2,3,3,3,3,2
1,1,2,1,3,3,3,3,3,3,1
1,2,3,1,1,1,1,1,2,2,1
1,1,2,3,3,2,1,2,1,3,1
1,1,1,2,1,1,2,3,3,3,1
3,3,1,2,3,1,1,2,1,1,1
1,1,2,2,1,1,1,3,2,3,2
2,2,2,1,1,3,2,2,2,1,2
1,3,1,3,1,3,2,2,2,3,1
1,1,2,3,3,1,1,2,2,2,2
1,1,2,3,3,2,1,2,2,2,1
3,3,3,1,2,3,3,3,1,1,3
3,3,2,2,1,3,3,3,3,2,2
2,2,3,3,2,3,3,3,3,3,1
1,1,3,3,2,2,2,1,3,2,2
2,2,3,3,3,2,1,2,2,1,1
1,2,2,2,3,2,2,3,2,2,2
1,1,3,2,1,1,1,3,3,3,3
2,1,2,2,3,1,1,1,3,3,2
1,3,3,3,3,2,2,2,3,3,2
2,3,1,2,3,1,1,2,3,3,2
1,2,2,2,3,2,1,2,1,1,2
2,3,1,2,2,2,2,1,1,2,1
3,2,3,3,3,2,1,2,2,3,3
1,2,2,1,1,2,1,1,2,1,2
1,2,1,2,3,1,1,1,1,1,2
3,1,1,1,2,3,3,3,2,2,1
3,3,3,2,3,2,3,3,2,2,3
3,3,1,3,2,3,2,1,1,1,2
3,3,2,3,3,1,2,3,1,1,3
1,2,3,2,1,2,2,1,1,3,3
3,3,2,1,1,3,3,3,1,1,3
1,2,1,3,2,1,1,2,2,2,1
2,1,3,1,1,2,2,1,2,1,1
3,2,1,2,3,1,1,3,3,3,3
2,2,3,1,2,3,2,1,2,2,1
1,2,3,3,2,2,2,2,3,3,2
3,3,3,2,2,2,2,3,2,1,2
2,2,3,2,1,1,2,2,2,2,3
2,1,1,2,1,3,3,1,1,1,3
1,1,3,1,1,2,3,1,3,3,2
2,2,1,3,2,3,3,3,2,1,1
1,1,1,2,3,2,2,3,2,3,2
3,2,3,3,3,3,2,1,3,3,2
1,1,2,3,3,2,1,1,3,2,1
2,2,1,1,1,1,1,2,3,3,2
2,2,2,2,2,2,3,3,1,3,1
2,1,3,2,2,1,1,2,3,3,1
1,1,1,2,2,1,2,3,3,3,2
2,2,3,1,1,1,1,2,1,3,3
1,1,2,2,3,3,2,1,2,2,1
2,3,1,3,2,3,3,2,3,2,1
3,3,3,3,2,3,2,1,2,2,2
3,3,3,2,2,3,3,1,1,3,2
1,2,2,2,2,3,2,1,3,3,1
3,3,2,1,3,1,1,2,3,2,2
1,3,1,1,1,1,1,2,1,1,3
2,1,3,3,3,3,3,3,2,2,1
1,1,2,2,1,3,3,3,2,2,2
2,2,3,2,1,2,2,2,3,3,2
2,3,3,3,1,3,3,3,1,1,3
3,2,2,1,2,1,2,3,3,3,3
2,3,2,1,1,1,2,1,3,3,2
1,2,3,2,2,2,2,1,1,1,1
3,3,3,3,3,3,3,1,3,3,1
1,1,3,1,1,2,2,1,3,3,2
2,3,1,3,1,1,1,3,1,2,3
3,3,3,3,1,2,1,2,2,1,1
1,2,3,3,2,3,3,2,3,2,1
1,1,2,1,1,3,3,3,1,3,1
3,1,2,2,1,2,2,2,2,2,2
3,3,3,3,1,1,1,2,1,1,1
2,1,2,1,1,2,3,2,3,3,1
2,2,3,2,2,3,2,1,3,2,1
1,1,1,1,3,1,1,1,3,3,3
1,1,1,1,1,3,3,1,2,2,1
2,1,3,2,2,2,2,1,3,2,2
1,1,3,3,3,1,1,1,2,2,2
2,1,1,2,3,3,3,3,3,3,3
3,3,3,3,3,2,2,3,1,1,3
1,1,2,2,2,3,3,3,2,2,1
1,1,3,2,3,2,2,1,2,1,1
1,2,3,3,3,1,1,2,2,2,2
3,1,3,1,2,1,3,1,1,1,3
2,1,2,3,3,2,1,2,2,1,1
1,1,3,2,2,1,1,2,1,1,3
2,1,2,1,2,1,1,1,2,2,1
1,1,3,3,3,3,2,1,1,1,3
1,1,1,1,1,3,3,3,2,1,1
2,1,2,1,1,3,2,1,1,1,1
3,3,1,2,1,1,1,1,3,2,2
3,3,1,3,2,2,2,1,3,3,3
1,1,2,2,1,2,1,2,1,3,3
1,1,2,3,3,1,2,3,3,3,1
2,3,3,1,2,2,3,1,3,3,2
2,1,2,2,1,2,2,1,1,1,2
2,2,2,1,1,3,3,3,3,3,2
2,2,2,1,1,2,3,1,1,1,1
1,2,1,2,1,1,1,2,2,2,1
1,1,2,2,2,1,1,1,1,1,3
2,3,2,2,3,1,3,3,3,3,2
1,1,3,1,1,1,1,2,3,3,2
3,2,1,1,3,1,1,3,2,2,2
2,2,2,3,2,3,2,1,1,1,3
3,3,3,3,3,1,1,1,1,2,3
1,1,3,2,1,1,3,3,3,3,2
1,1,2,1,1,1,1,2,1,2,3
3,3,2,3,3,3,3,3,3,3,2
1,1,2,3,1,2,2,1,2,3,1
1,1,1,3,3,3,3,1,2,1,1
2,2,1,1,2,1,1,2,1,1,3
1,2,2,2,1,2,2,2,1,1,1
2,2,1,2,1,1,1,2,2,2,2
2,1,2,2,1,2,2,2,3,2,1
2,3,2,3,2,3,3,1,2,2,2
3,3,1,1,1,2,2,1,1,2,3
2,3,1,3,3,3,3,3,3,3,2
3,2,3,2,3,3,2,2,1,1,3
2,2,1,3,1,3,3,3,3,3,2
3,3,3,2,3,2,2,2,3,2,1
3,3,3,2,2,3,3,1,1,1,2
3,3,3,1,2,2,2,1,3,3,2
3,2,2,3,3,2,2,2,3,3,2
1,3,3,2,1,2,3,1,3,3,1
2,2,2,1,1,3,3,1,1,1,3
3,3,2,3,3,3,3,1,3,3,3
2,2,2,2,3,3,3,1,3,3,2
1,2,3,1,2,2,3,3,2,2,1
3,3,1,2,2,3,3,1,3,3,3
3,3,2,1,2,2,2,1,1,1,3
1,1,3,2,3,1,1,2,3,2,2
1,2,3,1,1,2,3,2,2,1,1
2,1,3,2,3,2,2,2,2,2,3
2,2,2,1,1,1,1,1,3,3,2
3,3,2,1,3,2,2,2,2,1,1
3,1,2,3,2,3,2,1,1,3,3
1,2,2,1,2,1,1,3,3,3,1
1,1,3,3,3,3,3,1,3,2,2
1,1,2,1,1,1,1,1,3,2,1
2,3,2,1,1,1,1,1,1,1,3
3,2,1,3,3,2,2,2,3,3,3
1,1,2,1,2,3,3,1,1,1,3
2,3,2,3,2,3,2,1,1,2,3
1,2,3,2,1,3,3,3,3,3,2
3,2,2,1,1,3,3,3,2,1,2
3,3,3,2,3,1,1,2,2,2,2
2,2,2,1,1,2,2,1,2,1,2
1,1,1,3,2,1,1,2,2,1,3
2,2,2,1,2,2,3,3,1,1,2
2,2,3,1,1,1,1,3,3,3,3
3,2,2,2,2,1,2,3,2,2,1
2,2,1,3,1,1,1,3,1,1,3
3,2,3,3,2,1,2,2,2,2,1
1,1,3,1,2,1,2,2,2,2,3
1,1,1,1,3,3,3,3,2,1,1
1,3,1,1,2,2,2,3,3,3,2
2,2,2,2,1,3,3,3,3,3,2
2,1,3,3,3,3,3,2,1,2,3
2,2,3,2,1,1,1,3,3,2,1
2,2,1,1,3,2,2,1,2,2,3
3,3,1,1,3,1,1,1,2,1,1
3,2,3,2,3,3,2,1,3,3,2
2,1,1,3,2,1,1,2,3,2,1
